workout_name,exercise_name,weight,reps
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Weighted Dips,99,8
Chest,Weighted Dips,142,8
Chest,Weighted Dips,142,8
Chest,Weighted Dips,142,8
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Weighted Dips,99,8
Chest,Weighted Dips,142,8
Chest,Weighted Dips,142,8
Chest,Weighted Dips,142,8
Squat 1,Squat (Barbell),61,8
Squat 1,Squat (Barbell),83,5
Squat 1,Squat (Barbell),102,7
Squat 1,Squat (Barbell),124,5
Squat 1,Squat (Barbell),142,5
Squat 1,Squat (Barbell),142,6
Squat 1,Squat (Barbell),142,8
Squat 1,Leg Press (Hinge),195,10
Squat 1,Leg Press (Hinge),195,10
Squat 1,Leg Press (Hinge),195,10
Squat 1,Good Morning (Barbell),52,8
Squat 1,Good Morning (Barbell),52,8
Squat 1,Squat,61,8
Squat 1,Squat,83,5
Squat 1,Squat,102,7
Squat 1,Squat,124,5
Squat 1,Squat,142,5
Squat 1,Squat,142,6
Squat 1,Squat,142,8
Squat 1,Leg Press,195,10
Squat 1,Leg Press,195,10
Squat 1,Leg Press,195,10
Squat 1,Good Morning,52,8
Squat 1,Good Morning,52,8
Back,Chin Up,21,8
Back,Chin Up,21,8
Back,Chin Up,21,8
Back,Chin Up,0,10
Back,Lat Pulldown,68,10
Back,Lat Pulldown,68,10
Back,Seated Cable Row (Close Grip),58,8
Back,Seated Cable Row (Close Grip),58,8
Back,Seated Cable Row (Close Grip),58,8
Back,Seated Cable Row (Close Grip),58,8
Back,Rear Delt Fly,54,12
Back,Rear Delt Fly,54,10
Back,Rear Delt Fly,54,12
Back,Chin Up,21,8
Back,Chin Up,21,8
Back,Chin Up,21,8
Back,Chin Up,0,10
Back,Lat Pulldown,68,10
Back,Lat Pulldown,68,10
Back,Seated Row,58,8
Back,Seated Row,58,8
Back,Seated Row,58,8
Back,Seated Row,58,8
Back,Rear Delt Fly,54,12
Back,Rear Delt Fly,54,10
Back,Rear Delt Fly,54,12
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,83,6
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,106,6
Chest,Weighted Dips,99,8
Chest,Weighted Dips,99,8
Chest,Weighted Dips,99,8
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,61,5
Chest,Incline Bench Press,83,6
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,106,6
Chest,Weighted Dips,99,8
Chest,Weighted Dips,99,8
Chest,Weighted Dips,99,8
Back,Chin Up,22,8
Back,Chin Up,22,8
Back,Chin Up,22,8
Back,Chin Up,0,12
Back,Seated Row,72,9
Back,Seated Row,79,10
Back,Seated Row,79,10
Back,Seated Row,79,9
Back,Rear Delt Fly,45,10
Back,Rear Delt Fly,52,10
Back,Rear Delt Fly,52,10
Back,Rear Delt Fly,52,10
Back,Hammer Curl,31,10
Back,Hammer Curl,36,8
Back,Chin Up,22,8
Back,Chin Up,22,8
Back,Chin Up,22,8
Back,Chin Up,0,12
Back,Seated Cable Row (Close Grip),72,9
Back,Seated Cable Row (Close Grip),79,10
Back,Seated Cable Row (Close Grip),79,10
Back,Seated Cable Row (Close Grip),79,9
Back,Rear Delt Fly,45,10
Back,Rear Delt Fly,52,10
Back,Rear Delt Fly,52,10
Back,Rear Delt Fly,52,10
Back,Hammer Curl,31,10
Back,Hammer Curl,36,8
Squat 1,Squat,61,8
Squat 1,Squat,83,8
Squat 1,Squat,102,8
Squat 1,Squat,102,8
Squat 1,Squat,111,8
Squat 1,Squat,111,8
Squat 1,Squat,124,8
Squat 1,Squat,133,8
Squat 1,Squat,133,7
Squat 1,Glute Extension ,79,10
Squat 1,Glute Extension ,79,10
Squat 1,Squat (Barbell),61,8
Squat 1,Squat (Barbell),83,8
Squat 1,Squat (Barbell),102,8
Squat 1,Squat (Barbell),102,8
Squat 1,Squat (Barbell),111,8
Squat 1,Squat (Barbell),111,8
Squat 1,Squat (Barbell),124,8
Squat 1,Squat (Barbell),133,8
Squat 1,Squat (Barbell),133,7
Squat 1,Glute Extension ,79,10
Squat 1,Glute Extension ,79,10
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,83,5
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,108,7
Chest,Seated Shoulder  Press (Barbell),61,10
Chest,Seated Shoulder  Press (Barbell),70,8
Chest,Seated Shoulder  Press (Barbell),70,8
Chest,Seated Shoulder  Press (Barbell),74,8
Chest,Weighted Dips,0,12
Chest,Weighted Dips,0,10
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,83,5
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,108,7
Chest,Seated Shoulder  Press (Barbell),61,10
Chest,Seated Shoulder  Press (Barbell),70,8
Chest,Seated Shoulder  Press (Barbell),70,8
Chest,Seated Shoulder  Press (Barbell),74,8
Chest,Weighted Dips,0,12
Chest,Weighted Dips,0,10
Back,Chin Up,22,8
Back,Chin Up,22,9
Back,Chin Up,22,8
Back,Seated Row,65,11
Back,Seated Row,72,9
Back,Seated Row,72,8
Back,Lat Pulldown,68,12
Back,Lat Pulldown,70,12
Back,Lat Pulldown,70,12
Back,Rear Delt Fly,52,15
Back,Rear Delt Fly,52,15
Back,Rear Delt Fly,52,12
Back,Rear Delt Fly,52,10
Back,Chin Up,22,8
Back,Chin Up,22,9
Back,Chin Up,22,8
Back,Seated Cable Row (Close Grip),65,11
Back,Seated Cable Row (Close Grip),72,9
Back,Seated Cable Row (Close Grip),72,8
Back,Lat Pulldown,68,12
Back,Lat Pulldown,70,12
Back,Lat Pulldown,70,12
Back,Rear Delt Fly,52,15
Back,Rear Delt Fly,52,15
Back,Rear Delt Fly,52,12
Back,Rear Delt Fly,52,10
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,106,8
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Weighted Dips,0,10
Chest,Weighted Dips,0,14
Chest,Incline Bench Press,61,8
Chest,Incline Bench Press,83,7
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,104,8
Chest,Incline Bench Press,106,8
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Seated Shoulder  Press (Barbell),74,10
Chest,Weighted Dips,0,10
Chest,Weighted Dips,0,14
Squat 1,Squat (Barbell),83,8
Squat 1,Squat (Barbell),102,8
Squat 1,Squat (Barbell),124,8
Squat 1,Squat (Barbell),124,8
Squat 1,Squat (Barbell),129,8
Squat 1,Squat (Barbell),133,8
Squat 1,Glute Extension ,58,10
Squat 1,Glute Extension ,58,10
Squat 1,Leg Press (Hinge),163,10
Squat 1,Leg Press (Hinge),163,10
Squat 1,Leg Press (Hinge),163,10
Squat 1,Leg Outward Fly,45,15
Squat 1,Leg Outward Fly,45,15
Squat 1,Leg Outward Fly,45,15
Squat 1,Squat,83,8
Squat 1,Squat,102,8
Squat 1,Squat,124,8
Squat 1,Squat,124,8
Squat 1,Squat,129,8
Squat 1,Squat,133,8
Squat 1,Glute Extension ,58,10
Squat 1,Glute Extension ,58,10
Squat 1,Leg Press,163,10
Squat 1,Leg Press,163,10
Squat 1,Leg Press,163,10
Squat 1,Leg Outward Fly,45,15
Squat 1,Leg Outward Fly,45,15
Squat 1,Leg Outward Fly,45,15
Back,Chin Up,23,8
Back,Chin Up,23,8
Back,Chin Up,23,8
Back,Chin Up,0,12
Back,Rear Delt Fly,56,12
Back,Rear Delt Fly,54,10
Back,Rear Delt Fly,54,14
Back,Seated Row,79,12
Back,Seated Row,86,10
Back,Seated Row,86,10
Back,Seated Row,58,12
Back,Hammer Curl,36,15
Back,Hammer Curl,36,15
Back,Chin Up,23,8
Back,Chin Up,23,8
Back,Chin Up,23,8
Back,Chin Up,0,12
Back,Rear Delt Fly,56,12
Back,Rear Delt Fly,54,10
Back,Rear Delt Fly,54,14
Back,Seated Cable Row (Close Grip),79,12
Back,Seated Cable Row (Close Grip),86,10
Back,Seated Cable Row (Close Grip),86,10
Back,Seated Cable Row (Close Grip),58,12
Back,Hammer Curl,36,15
Back,Hammer Curl,36,15
Shoulder Day,Seated Shoulder Press (Dumbbell),31,10
Shoulder Day,Seated Shoulder Press (Dumbbell),31,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),54,10
Shoulder Day,Lateral Raise,18,12
Shoulder Day,Lateral Raise,18,15
Shoulder Day,Weighted Dips,0,10
Shoulder Day,Weighted Dips,20,10
Shoulder Day,Weighted Dips,40,10
Shoulder Day,Weighted Dips,40,10
Shoulder Day,Weighted Dips,40,10
Shoulder Day,Seated Shoulder Press (Dumbbell),31,10
Shoulder Day,Seated Shoulder Press (Dumbbell),31,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),81,10
Shoulder Day,Seated Shoulder Press (Dumbbell),54,10
Shoulder Day,Lateral Raise (Dumbbell),18,12
Shoulder Day,Lateral Raise (Dumbbell),18,15
Shoulder Day,Weighted Dips,0,10
Shoulder Day,Weighted Dips,20,10
Shoulder Day,Weighted Dips,40,10
Shoulder Day,Weighted Dips,40,10
Shoulder Day,Weighted Dips,40,10
Squat 1,Squat,83,6
Squat 1,Squat,83,8
Squat 1,Squat,102,8
Squat 1,Squat,113,8
Squat 1,Squat,127,8
Squat 1,Squat,131,8
Squat 1,Squat,136,8
Squat 1,Squat,142,8
Squat 1,Leg Press,204,12
Squat 1,Leg Press,204,12
Squat 1,Leg Press,204,12
Squat 1,Squat (Barbell),83,6
Squat 1,Squat (Barbell),83,8
Squat 1,Squat (Barbell),102,8
Squat 1,Squat (Barbell),113,8
Squat 1,Squat (Barbell),127,8
Squat 1,Squat (Barbell),131,8
Squat 1,Squat (Barbell),136,8
Squat 1,Squat (Barbell),142,8
